"Project","Description","Number of packages","Number of classes","Number of test classes","Minimum class depth","Median class depth","Maximum class depth","Number of tests","Number of helpers","Minimum max helper depth","Median max helper depth","Maximum max helper depth","Minimum primitive calls in test count","Median primitive calls in test count","Maximum primitive calls in test count","Minimum helper calls in test count","Median helper calls in test count","Maximum helper calls in test count","Minimum helper call/definition delta","Median helper call/definition delta","Maximum helper call/definition delta","Insidious cat. 1","Insidious cat. 2","Insidious cat. 3","Insidious cat. 4"
"Willow-Playground","","3","39","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Willow-SpinKit","","1","14","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Winter","","11","143","24","1","1","1","54","0","0","0","0","1","4","28","0","0","0","","","","0","0","0","0"
"XML-Support-Pharo","","3","470","158","1","3","6","5152","179","0","0","6","0","2","42","0","0","3","0","0","4","0","27","149","29"
"dm-metrics","","4","14","6","2","2","2","27","0","0","0","0","1","1","4","0","0","0","","","","0","0","0","0"
"earley-parser","","14","112","61","1","1","2","367","3","0","0","1","0","1","11","0","0","1","0","0","0","0","0","0","0"
"file-dialog","","2","10","7","2","2","3","23","0","0","0","0","0","1","5","0","0","0","","","","0","0","0","0"
"fisher-parser","","6","81","42","1","2","2","266","5","0","0","2","0","1","7","0","0","1","0","0","0","0","0","0","0"
"gtoolkit-examples","","10","58","4","1","1","1","15","4","1","1","1","0","1","4","1","1","1","0","0","0","0","0","0","0"
"hunter","","2","213","19","1","1","1","158","0","0","0","0","0","2","13","0","0","0","","","","0","0","0","0"
"kendrick","","2","125","49","1","1","3","200","2","0","0","1","0","1","6","0","0","2","0","1","1","0","1","0","0"
"linked-list","","3","20","12","1","1","3","393","4","0","0","2","0","2","10","0","0","1","0","0","0","8","0","19","6"
"lmdb-smalltalk","","4","24","7","1","2","2","26","3","0","0","3","0","1","6","0","0","1","0","0","0","0","0","0","0"
"mongotalk","","8","88","12","1","1","2","95","3","0","0","1","0","2","14","0","0","1","0","0","0","0","0","0","0"
"mqtt","","3","36","17","1","3","3","77","0","0","0","0","0","7","27","0","0","0","","","","0","0","0","0"
"multi-valued-dictionary","","3","32","29","5","5","6","4047","7","0","0","2","0","2","10","0","0","1","0","0","0","42","0","147","63"
"openponk-model","","1","16","2","1","1","1","6","0","0","0","0","1","2","4","0","0","0","","","","0","0","0","0"
"pharo-aws-toolbox","","8","65","3","1","1","1","6","0","0","0","0","1","2","6","0","0","0","","","","0","0","0","0"
"pharo-non-cryptographic-hashes","","2","3","1","1","1","1","2","0","0","0","0","1","1","1","0","0","0","","","","0","0","0","0"
"pharo-protobuf","","4","70","4","1","1","1","17","0","0","0","0","0","1","9","0","0","0","","","","0","0","0","0"
"pharo-sentry","","4","27","8","1","1","1","36","0","0","0","0","1","1","5","0","0","0","","","","0","0","0","0"
"pharo2va","","1","2","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"stamp","","1","35","4","1","1","1","28","0","0","0","0","1","3","12","0","0","0","","","","0","0","0","0"
"ston","","3","31","10","1","1","2","286","2","0","1","1","0","0","11","0","1","1","0","0","0","0","0","0","0"
"taskit","","2","25","9","1","2","5","42","5","0","0","1","0","1","5","0","0","2","1","1","1","0","0","0","0"
"to-do-pharo","","2","4","2","1","1","1","3","0","0","0","0","2","2","2","0","0","0","","","","0","0","0","0"
"voyage","","10","115","24","1","3","4","100","0","0","0","0","1","2","11","0","0","0","","","","0","0","0","0"
"zinc","","11","210","56","1","1","2","515","14","0","0","1","0","2","17","0","0","2","0","0","0","0","3","0","0"
"ztimestamp","","1","12","5","1","1","2","82","3","0","0","1","0","2","12","0","0","1","0","0","0","0","0","0","0"
